,Name,Critic_Score,User_Score
858,Harry Potter and the Chamber of Secrets,7.6,7.9
859,Kingdom Hearts 358/2 Days,7.5,7.8
860,Skate 3,8.0,7.6
863,Need for Speed Rivals,8.0,6.2
864,Spyro: Enter the Dragonfly,5.6,4.1
865,Devil May Cry 2,6.8,6.6
867,Hot Shots Golf: Open Tee,8.1,8.7
871,Forza Horizon,8.5,8.4
872,Tom Clancy's Rainbow Six: Vegas,8.8,8.3
873,Crash Nitro Kart,6.9,7.7
874,Resident Evil 6,6.7,5
875,Grand Theft Auto: San Andreas,9.3,8.6
877,NBA Street Vol. 2,9.0,8.8
878,Def Jam Vendetta,8.0,8.9
879,Kirby Squeak Squad,7.1,8.1
880,Burnout Paradise,8.7,7.7
884,The Sims 3,7.8,6.4
885,FIFA Soccer 09,8.7,8
886,Dragon Ball Z: Budokai 3,7.7,8.9
887,Call of Duty: World at War,8.3,7.6
889,Tom Clancy's Ghost Recon,6.3,8.3
890,BioShock Infinite,9.3,8.5
891,X-Men Legends,7.9,8.5
894,Mortal Kombat vs. DC Universe,7.2,7.5
895,Destiny: The Taken King,8.6,6
899,Red Faction,8.8,8
900,The Sims: Makin' Magic,8.0,8.6
901,Mario Party: Island Tour,5.7,6.3
902,MX Unleashed,8.0,9.2
903,PaRappa The Rapper,9.2,7.4
904,Guitar Hero: World Tour,8.4,7.5
905,Need for Speed: Shift,8.3,6.5
907,Diablo III,8.6,6.4
908,LittleBigPlanet 3,7.9,7.1
909,Star Wars Rogue Leader: Rogue Squadron II,9.0,8.6
911,Mario Super Sluggers,6.9,7.8
913,Monopoly,7.0,7.8
914,Madden NFL 09,8.5,4.4
915,Batman: Arkham Origins,7.4,7.5
916,Game Party 2,2.9,4.6
918,Mortal Kombat: Deception,8.1,8.5
921,NBA 2K17,8.8,6.7
922,Toy Story Mania!,4.9,6.6
925,Star Fox Adventures,8.2,7.7
927,Madden NFL 25,7.6,4.1
928,Dynasty Warriors 3,7.8,9.1
931,Madden NFL 06,8.6,6.7
932,Shrek 2,7.1,8.5
934,The Legend of Dragoon,7.4,8.4
936,Star Wars: The Force Unleashed,7.1,7.9
937,NBA Live 2002,7.0,7.4
